,retweet_count,favorite_count
78,87521,107663
79,26167,37526
80,4499,9823
81,218,0
82,79638,113725
83,1421,0
84,23930,0
85,340,0
86,368,0
87,565,0
88,73,0
89,248,0
90,237,0
91,67,0
92,1935,3667
93,3069,0
94,15773,24255
95,55182,61186
96,296,0
97,1565,4186
98,1575,4146
99,455,2203
100,13881,44101
101,6721,0
102,3628,0
103,1035,5533
104,988,4759
105,325,1471
106,29,0
107,410,2309
108,255,1394
109,1149,4735
110,2727,8796
111,137882,168876
112,6817,0
113,3158,6755
114,5678,22287
115,5632,10135
116,51977,55262
117,949,0
118,1694,3743
119,882,2609
120,193,666
121,1201,2279
122,260,763
123,312,1051
124,20,0
125,17,0
126,151,0
127,53,0
128,485,1661
129,24,0
130,37,0
131,9946,18409
132,2418,6090
133,4956,0
134,1089,0
135,480,3489
136,3579,11076
137,209,0
138,436,0
139,1642,0
140,62393,85971
141,46431,0
142,96,0
143,2343,0
144,6457,0
145,21917,0
146,4695,10055
147,2809,0
148,598,0
149,610,0
150,44810,0
151,8077,0
152,87381,164367
153,21249,28062
154,58490,84752
155,2829,8933
156,3217,10204
157,57878,0
158,268,0
159,42149,54577
160,9226,24208
161,18,0
162,61,0
163,82,0
164,195,0
165,184,0
166,52,0
167,91,0
168,66,0
169,55059,0
170,1640,6942
171,3312,9178
172,12274,18463
173,2616,5455
174,571,1700
175,12616,0
176,199,0
177,61,0
178,87390,111605
179,38707,89565
180,980,2840
181,1392,0
182,11489,19782
183,58,0
184,1382,6318
185,1297,4287
186,9244,26000
187,25429,28097
188,410,1173
189,35531,45295
190,59120,61076
191,180,0
192,1797,6794
193,20612,58348
194,3241,6084
195,4406,15025
196,101323,277007
197,9832,32510
198,209,0
199,6803,17643
0,86,0
1,81,0
2,37,0
3,343,744
4,4942,12437
5,2358,3481
6,1290,3290
7,348,792
8,8825,0
9,319,0
10,397,0
11,9,31
12,891,2155
13,6976,22682
14,63,0
15,56,0
16,28,0
17,278,0
18,146,458
19,1993,7496
20,1702,7437
21,2334,6338
22,4185,9529
23,173,0
24,632,0
25,3042,10617
26,164,0
27,232,1026
28,53,0
29,5122,11913
30,371,1190
31,92,0
32,383,0
33,753,2371
34,1059,0
35,2726,5233
36,1011,3018
37,4913,6253
38,12643,0
39,227,448
40,3719,9805
41,61955,73686
42,110,0
43,351,0
44,4609,8789
45,592,1602
46,4330,10864
47,1423,0
48,282,616
49,119,0
50,82,0
51,80,0
52,12966,0
53,3797,6934
54,234,0
55,457,0
56,6731,0
57,4713,14699
58,193,0
59,132,0
60,1014,1714
61,4359,0
62,166,0
63,701,0
64,650,0
65,2310,3497
66,4040,0
67,1702,0
68,1228,3463
69,623,0
70,396,940
71,1014,1309
72,1429,0
73,245,0
74,351,0
75,155,0
76,757,0
77,3999,0
78,3376,0
79,97,0
80,311,0
81,126,0
82,3065,11790
83,313,603
84,238,0
85,80,0
86,1351,2576
87,15940,0
88,209,369
89,223,458
90,386,572
91,463,0
92,25,0
93,678,2696
94,2474,4623
95,106,247
96,4146,6739
97,446,1316
98,31592,0
99,2100,0
100,436,969
101,50,0
102,251,751
103,563,1944
104,552,969
105,178,0
106,12264,34374
107,1279,4650
108,19821,46440
109,2617,6694
110,45,233
111,569,1044
112,31,0
113,1592,3172
114,2431,3351
115,17,0
116,363,0
117,395,0
118,169,0
119,992,0
120,192,0
121,24,0
122,1029,1803
123,586,913
124,2869,4456
125,318,606
126,2655,3520
127,157,920
128,15,0
129,27,0
130,14,0
131,12,0
132,19,0
133,81,0
134,98,0
135,28,0
136,64,0
137,56,0
138,8813,0
139,26,0
140,15,0
141,44,0
142,17,0
143,19,0
144,20,0
145,19,0
146,20,0
147,80,0
148,300,0
149,18,0
150,22,0
151,68,0
152,22,0
153,9,0
154,11,0
155,6,0
156,29,0
157,7,0
158,12,0
159,6,0
160,15,0
161,8,0
162,11,0
163,4,0
164,209,0
165,20,0
166,69,0
167,60,0
168,6,0
169,5,0
170,1108,0
171,5,0
172,7,0
173,5,0
174,8,0
175,3,0
176,8,0
177,6,0
178,3,0
179,13,0
180,5,0
181,10,0
182,9,0
183,5,0
184,11,0
185,6,0
186,8,0
187,15,0
188,8,0
189,4,0
190,5,0
191,4,0
192,115,0
0,20,0
1,37,0
2,14,0
3,13,0
4,897,2198
5,643,1835
6,256,711
7,276,667
8,440,1032
